118 [06/sep/2001:09:42:46 -0300] "bet	/home/joshua:
121 [11/sep/2001:08:50:53 -0300] "bet	compiler.sf
121 [11/sep/2001:08:50:53 -0300] "bet	decls.scm
121 [11/sep/2001:08:50:53 -0300] "bet	disassembler.scm
121 [11/sep/2001:09:09:40 -0300] "bet	lapgen.scm
121 [11/sep/2001:09:09:40 -0300] "bet	lapopt.scm
121 [11/sep/2001:09:10:16 -0300] "bet	little-endian.scm
121 [11/sep/2001:09:10:31 -0300] "bet	machine.scm
121 [11/sep/2001:09:13:16 -0300] "bet	make.scm
121 [11/sep/2001:09:13:25 -0300] "bet	rgspcm.scm
121 [11/sep/2001:09:13:25 -0300] "bet	rules.scm
121 [11/sep/2001:09:13:28 -0300] "bet	wordsize-32.scm
121 [11/sep/2001:09:13:33 -0300] "bet	wordsize-64.scm
121 [11/sep/2001:09:13:47 -0300] "bet	
121 [11/sep/2001:09:13:50 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/src/compiler/machines/x86-64:
121 [11/sep/2001:09:13:59 -0300] "bet	assmd.bci
121 [11/sep/2001:09:14:09 -0300] "bet	assmd.bin
121 [11/sep/2001:09:14:13 -0300] "bet	assmd.com
121 [11/sep/2001:09:14:18 -0300] "bet	assmd.ext
121 [11/sep/2001:09:15:55 -0300] "bet	assmd.scm
121 [11/sep/2001:11:26:45 -0300] "bet	coerce.bci
121 [11/sep/2001:11:26:45 -0300] "bet	coerce.bin
121 [11/sep/2001:11:27:34 -0300] "bet	coerce.com
121 [11/sep/2001:11:28:20 -0300] "bet	coerce.scm
121 [11/sep/2001:11:28:20 -0300] "bet	compiler.cbf
121 [11/sep/2001:11:28:22 -0300] "bet	compiler.pkg
121 [11/sep/2001:11:28:23 -0300] "bet	compiler.sf
121 [11/sep/2001:11:28:26 -0300] "bet	dassm1.bci
121 [11/sep/2001:11:45:45 -0300] "bet	dassm1.bin
121 [11/sep/2001:11:45:45 -0300] "bet	dassm1.com
121 [11/sep/2001:11:48:03 -0300] "bet	dassm1.ext
121 [11/sep/2001:11:48:03 -0300] "bet	dassm1.scm
121 [11/sep/2001:11:48:07 -0300] "bet	dassm2.bci
121 [11/sep/2001:11:48:08 -0300] "bet	dassm2.bin
121 [11/sep/2001:11:56:16 -0300] "bet	dassm2.com
121 [11/sep/2001:11:56:16 -0300] "bet	dassm2.ext
122 [11/sep/2001:08:26:21 -0300] "bet	dassm2.scm
122 [11/sep/2001:08:28:04 -0300] "bet	dassm3.bci
122 [11/sep/2001:11:56:15 -0300] "bet	dassm3.bin
122 [11/sep/2001:12:02:41 -0300] "bet	dassm3.com
122 [11/sep/2001:12:02:41 -0300] "bet	dassm3.ext
122 [11/sep/2001:12:02:43 -0300] "bet	dassm3.scm
122 [11/sep/2001:12:02:44 -0300] "bet	decls.bci
125 [11/sep/2001:11:31:21 -0300] "bet	decls.bin
125 [11/sep/2001:11:31:21 -0300] "bet	decls.com
126 [11/sep/2001:08:50:42 -0300] "bet	decls.ext
126 [11/sep/2001:08:44:00 -0300] "bet	decls.scm
126 [11/sep/2001:08:50:41 -0300] "bet	insmac.bci
126 [11/sep/2001:09:10:25 -0300] "bet	insmac.bin
126 [11/sep/2001:09:10:25 -0300] "bet	insmac.com
126 [11/sep/2001:09:13:29 -0300] "bet	insmac.scm
126 [11/sep/2001:09:13:29 -0300] "bet	instr1.bci
126 [11/sep/2001:09:15:20 -0300] "bet	instr1.bin
126 [11/sep/2001:11:31:35 -0300] "bet	instr1.com
126 [11/sep/2001:11:31:56 -0300] "bet	instr1.scm
128 [11/sep/2001:11:30:46 -0300] "bet	instr2.bci
128 [11/sep/2001:11:31:04 -0300] "bet	instr2.bin
128 [11/sep/2001:11:31:04 -0300] "bet	instr2.com
128 [11/sep/2001:11:31:04 -0300] "bet	instr2.scm
128 [11/sep/2001:11:31:05 -0300] "bet	instrf.bci
128 [11/sep/2001:11:31:47 -0300] "bet	instrf.bin
128 [11/sep/2001:11:48:30 -0300] "bet	instrf.com
128 [11/sep/2001:11:49:09 -0300] "bet	instrf.scm
131 [11/sep/2001:11:22:45 -0300] "bet	insutl.bci
131 [11/sep/2001:11:22:45 -0300] "bet	insutl.bin
102 [11/sep/2001:11:32:20 -0300] "bet	insutl.com
102 [11/sep/2001:11:32:20 -0300] "bet	insutl.ext
102 [11/sep/2001:11:32:35 -0300] "bet	insutl.scm
102 [11/sep/2001:11:32:35 -0300] "bet	lapgen.bci
102 [11/sep/2001:11:32:37 -0300] "bet	lapgen.bin
102 [11/sep/2001:11:32:39 -0300] "bet	lapgen.com
102 [11/sep/2001:11:33:08 -0300] "bet	lapgen.ext
102 [11/sep/2001:11:59:36 -0300] "bet	lapgen.scm
102 [11/sep/2001:11:59:36 -0300] "bet	lapopt.bci
103 [11/sep/2001:11:33:31 -0300] "bet	lapopt.bin
103 [11/sep/2001:11:33:31 -0300] "bet	lapopt.com
104 [11/sep/2001:11:24:15 -0300] "bet	lapopt.scm
104 [11/sep/2001:11:26:22 -0300] "bet	machin.bci
107 [11/sep/2001:11:48:54 -0300] "bet	machin.bin
107 [11/sep/2001:11:47:26 -0300] "bet	machin.com
107 [11/sep/2001:11:48:54 -0300] "bet	machin.ext
107 [11/sep/2001:11:58:16 -0300] "bet	machin.scm
107 [11/sep/2001:11:58:47 -0300] "bet	make.bci
109 [06/sep/2001:16:28:30 -0300] "bet	make.bin
109 [06/sep/2001:16:28:47 -0300] "bet	make.com
109 [06/sep/2001:16:28:15 -0300] "bet	make.scm
109 [06/sep/2001:16:28:22 -0300] "bet	pc-make.bci
109 [11/sep/2001:11:42:06 -0300] "bet	pc-make.bin
109 [11/sep/2001:11:42:06 -0300] "bet	pc-make.com
109 [11/sep/2001:11:43:00 -0300] "bet	pc-make.scm
109 [11/sep/2001:11:43:07 -0300] "bet	rgspcm.bci
109 [11/sep/2001:11:43:12 -0300] "bet	rgspcm.bin
109 [11/sep/2001:11:47:39 -0300] "bet	rgspcm.com
109 [11/sep/2001:11:47:39 -0300] "bet	rgspcm.scm
109 [11/sep/2001:11:47:43 -0300] "bet	rules1.bci
109 [11/sep/2001:11:47:47 -0300] "bet	rules1.bin
109 [11/sep/2001:11:48:02 -0300] "bet	rules1.com
109 [11/sep/2001:11:48:11 -0300] "bet	rules1.ext
109 [11/sep/2001:11:48:37 -0300] "bet	rules1.scm
109 [11/sep/2001:11:52:37 -0300] "bet	rules2.bci
109 [11/sep/2001:11:52:37 -0300] "bet	rules2.bin
109 [11/sep/2001:11:52:39 -0300] "bet	rules2.com
109 [11/sep/2001:11:53:26 -0300] "bet	rules2.scm
109 [11/sep/2001:11:55:23 -0300] "bet	rules3.bci
109 [11/sep/2001:11:55:44 -0300] "bet	rules3.bin
109 [11/sep/2001:11:55:46 -0300] "bet	rules3.com
109 [11/sep/2001:11:59:14 -0300] "bet	rules3.ext
109 [11/sep/2001:12:00:48 -0300] "bet	rules3.scm
109 [11/sep/2001:12:00:48 -0300] "bet	rules4.bci
110 [06/sep/2001:16:18:59 -0300] "bet	rules4.bin
110 [06/sep/2001:16:23:31 -0300] "bet	rules4.com
110 [05/sep/2001:09:03:22 -0300] "bet	rules4.scm
110 [06/sep/2001:15:57:32 -0300] "bet	rulfix.bci
110 [06/sep/2001:15:57:32 -0300] "bet	rulfix.bin
110 [06/sep/2001:16:18:59 -0300] "bet	rulfix.com
110 [11/sep/2001:11:39:01 -0300] "bet	rulfix.ext
110 [11/sep/2001:11:43:28 -0300] "bet	rulfix.scm
110 [11/sep/2001:12:02:50 -0300] "bet	rulflo.bci
110 [11/sep/2001:12:02:50 -0300] "bet	rulflo.bin
111 [11/sep/2001:11:43:17 -0300] "bet	rulflo.com
111 [11/sep/2001:11:44:21 -0300] "bet	rulflo.ext
111 [11/sep/2001:11:44:21 -0300] "bet	rulflo.scm
111 [11/sep/2001:11:44:25 -0300] "bet	rulrew.bci
111 [11/sep/2001:11:44:30 -0300] "bet	rulrew.bin
111 [11/sep/2001:11:45:09 -0300] "bet	rulrew.com
111 [11/sep/2001:11:45:23 -0300] "bet	rulrew.scm
111 [11/sep/2001:11:45:24 -0300] "bet	
111 [11/sep/2001:11:50:36 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/src/compiler/rtlbase:
111 [11/sep/2001:11:51:08 -0300] "bet	regset.bci
111 [11/sep/2001:11:57:13 -0300] "bet	regset.bin
111 [11/sep/2001:11:57:33 -0300] "bet	regset.com
111 [11/sep/2001:11:57:33 -0300] "bet	regset.ext
111 [11/sep/2001:11:57:37 -0300] "bet	regset.scm
111 [11/sep/2001:11:57:38 -0300] "bet	rgraph.bci
111 [11/sep/2001:11:59:23 -0300] "bet	rgraph.bin
111 [11/sep/2001:11:59:23 -0300] "bet	rgraph.com
111 [11/sep/2001:11:59:26 -0300] "bet	rgraph.ext
111 [11/sep/2001:12:00:13 -0300] "bet	rgraph.scm
111 [11/sep/2001:12:00:13 -0300] "bet	rtlcfg.bci
111 [11/sep/2001:12:00:16 -0300] "bet	rtlcfg.bin
111 [11/sep/2001:12:02:37 -0300] "bet	rtlcfg.com
111 [11/sep/2001:12:02:41 -0300] "bet	rtlcfg.ext
111 [11/sep/2001:12:02:53 -0300] "bet	rtlcfg.scm
115 [05/sep/2001:17:15:36 -0300] "bet	rtlcon.bci
115 [10/sep/2001:09:22:28 -0300] "bet	rtlcon.bin
115 [10/sep/2001:09:22:28 -0300] "bet	rtlcon.com
115 [10/sep/2001:09:30:00 -0300] "bet	rtlcon.scm
115 [10/sep/2001:09:30:00 -0300] "bet	rtlexp.bci
115 [10/sep/2001:09:30:05 -0300] "bet	rtlexp.bin
115 [10/sep/2001:09:30:08 -0300] "bet	rtlexp.com
115 [10/sep/2001:09:33:31 -0300] "bet	rtlexp.scm
115 [10/sep/2001:09:33:33 -0300] "bet	rtline.bci
115 [10/sep/2001:09:35:42 -0300] "bet	rtline.bin
115 [10/sep/2001:09:35:44 -0300] "bet	rtline.com
115 [10/sep/2001:09:35:52 -0300] "bet	rtline.scm
115 [10/sep/2001:09:35:54 -0300] "bet	rtlobj.bci
115 [10/sep/2001:09:36:12 -0300] "bet	rtlobj.bin
115 [10/sep/2001:09:36:14 -0300] "bet	rtlobj.com
115 [10/sep/2001:09:36:25 -0300] "bet	rtlobj.ext
115 [10/sep/2001:09:36:27 -0300] "bet	rtlobj.scm
115 [10/sep/2001:09:36:44 -0300] "bet	rtlreg.bci
115 [10/sep/2001:09:36:45 -0300] "bet	rtlreg.bin
115 [10/sep/2001:09:36:57 -0300] "bet	rtlreg.com
115 [10/sep/2001:09:37:45 -0300] "bet	rtlreg.ext
115 [11/sep/2001:11:19:47 -0300] "bet	rtlreg.scm
115 [11/sep/2001:11:19:47 -0300] "bet	rtlty1.bci
115 [11/sep/2001:11:25:14 -0300] "bet	rtlty1.bin
115 [11/sep/2001:11:25:14 -0300] "bet	rtlty1.com
115 [11/sep/2001:11:25:18 -0300] "bet	rtlty1.ext
115 [11/sep/2001:11:25:20 -0300] "bet	rtlty1.scm
115 [11/sep/2001:11:25:36 -0300] "bet	rtlty2.bci
115 [11/sep/2001:11:25:36 -0300] "bet	rtlty2.bin
115 [11/sep/2001:11:25:37 -0300] "bet	rtlty2.com
115 [11/sep/2001:11:25:44 -0300] "bet	rtlty2.ext
115 [11/sep/2001:11:25:44 -0300] "bet	rtlty2.scm
115 [11/sep/2001:11:34:41 -0300] "bet	valclass.bci
115 [11/sep/2001:11:34:41 -0300] "bet	valclass.bin
115 [11/sep/2001:11:40:16 -0300] "bet	valclass.com
115 [11/sep/2001:11:40:16 -0300] "bet	valclass.ext
115 [11/sep/2001:11:40:18 -0300] "bet	valclass.scm
115 [11/sep/2001:11:40:19 -0300] "bet	
115 [11/sep/2001:11:40:19 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/src/compiler/rtlgen:
115 [11/sep/2001:11:40:45 -0300] "bet	fndblk.bci
115 [11/sep/2001:11:40:48 -0300] "bet	fndblk.bin
115 [11/sep/2001:11:40:57 -0300] "bet	fndblk.com
115 [11/sep/2001:11:40:57 -0300] "bet	fndblk.scm
115 [11/sep/2001:11:41:00 -0300] "bet	fndvar.bci
115 [11/sep/2001:11:41:01 -0300] "bet	fndvar.bin
115 [11/sep/2001:11:41:17 -0300] "bet	fndvar.com
115 [11/sep/2001:11:41:42 -0300] "bet	fndvar.ext
115 [11/sep/2001:11:41:43 -0300] "bet	fndvar.scm
115 [11/sep/2001:11:42:48 -0300] "bet	opncod.bci
115 [11/sep/2001:11:42:50 -0300] "bet	opncod.bin
115 [11/sep/2001:11:42:52 -0300] "bet	opncod.com
115 [11/sep/2001:11:42:52 -0300] "bet	opncod.ext
115 [11/sep/2001:11:42:54 -0300] "bet	opncod.scm
115 [11/sep/2001:11:42:55 -0300] "bet	rgcomb.bci
116 [11/sep/2001:11:15:40 -0300] "bet	rgcomb.bin
116 [11/sep/2001:11:15:40 -0300] "bet	rgcomb.com
117 [11/sep/2001:11:44:27 -0300] "bet	rgcomb.scm
117 [11/sep/2001:11:48:23 -0300] "bet	rgproc.bci
117 [11/sep/2001:11:54:30 -0300] "bet	rgproc.bin
117 [11/sep/2001:11:54:30 -0300] "bet	rgproc.com
117 [11/sep/2001:11:54:34 -0300] "bet	rgproc.scm
117 [11/sep/2001:11:54:36 -0300] "bet	rgretn.bci
120 [09/sep/2001:21:01:18 -0300] "bet	rgretn.bin
120 [09/sep/2001:21:01:40 -0300] "bet	rgretn.com
120 [09/sep/2001:20:33:50 -0300] "bet	rgretn.ext
120 [09/sep/2001:20:48:24 -0300] "bet	rgretn.scm
120 [09/sep/2001:20:49:14 -0300] "bet	rgrval.bci
120 [09/sep/2001:20:50:14 -0300] "bet	rgrval.bin
120 [09/sep/2001:20:50:14 -0300] "bet	rgrval.com
120 [09/sep/2001:20:50:41 -0300] "bet	rgrval.ext
120 [09/sep/2001:20:51:17 -0300] "bet	rgrval.scm
120 [09/sep/2001:20:52:24 -0300] "bet	rgstmt.bci
120 [09/sep/2001:20:52:29 -0300] "bet	rgstmt.bin
120 [09/sep/2001:20:52:48 -0300] "bet	rgstmt.com
120 [09/sep/2001:20:53:12 -0300] "bet	rgstmt.scm
120 [09/sep/2001:20:53:24 -0300] "bet	rtlgen.bci
120 [09/sep/2001:20:53:26 -0300] "bet	rtlgen.bin
120 [09/sep/2001:20:53:29 -0300] "bet	rtlgen.com
120 [09/sep/2001:20:53:35 -0300] "bet	rtlgen.scm
120 [09/sep/2001:20:53:38 -0300] "bet	
120 [09/sep/2001:20:53:41 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/src/compiler/rtlopt:
120 [09/sep/2001:20:57:39 -0300] "bet	ralloc.bci
120 [09/sep/2001:21:01:18 -0300] "bet	ralloc.bin
120 [09/sep/2001:21:11:01 -0300] "bet	ralloc.com
120 [09/sep/2001:21:11:50 -0300] "bet	ralloc.scm
120 [09/sep/2001:21:11:50 -0300] "bet	rcompr.bci
120 [09/sep/2001:21:12:52 -0300] "bet	rcompr.bin
120 [09/sep/2001:21:12:52 -0300] "bet	rcompr.com
120 [09/sep/2001:21:12:55 -0300] "bet	rcompr.scm
121 [09/sep/2001:20:49:44 -0300] "bet	rcse1.bci
121 [09/sep/2001:20:57:33 -0300] "bet	rcse1.bin
121 [09/sep/2001:20:57:59 -0300] "bet	rcse1.com
121 [09/sep/2001:20:58:29 -0300] "bet	rcse1.ext
121 [09/sep/2001:21:00:16 -0300] "bet	rcse1.scm
121 [09/sep/2001:21:00:16 -0300] "bet	rcse2.bci
121 [09/sep/2001:21:00:19 -0300] "bet	rcse2.bin
121 [09/sep/2001:21:00:22 -0300] "bet	rcse2.com
121 [09/sep/2001:21:00:31 -0300] "bet	rcse2.scm
121 [09/sep/2001:21:01:22 -0300] "bet	rcseep.bci
121 [09/sep/2001:21:01:25 -0300] "bet	rcseep.bin
121 [09/sep/2001:21:02:14 -0300] "bet	rcseep.com
121 [09/sep/2001:21:02:24 -0300] "bet	rcseep.scm
121 [09/sep/2001:21:02:30 -0300] "bet	rcseht.bci
121 [09/sep/2001:21:02:33 -0300] "bet	rcseht.bin
121 [09/sep/2001:21:02:52 -0300] "bet	rcseht.com
121 [09/sep/2001:21:03:19 -0300] "bet	rcseht.ext
121 [09/sep/2001:21:04:17 -0300] "bet	rcseht.scm
121 [09/sep/2001:21:06:02 -0300] "bet	rcserq.bci
121 [09/sep/2001:21:06:02 -0300] "bet	rcserq.bin
121 [09/sep/2001:21:06:05 -0300] "bet	rcserq.com
121 [09/sep/2001:21:06:05 -0300] "bet	rcserq.ext
121 [09/sep/2001:21:06:07 -0300] "bet	rcserq.scm
121 [09/sep/2001:21:06:39 -0300] "bet	rcsesr.bci
121 [09/sep/2001:21:06:39 -0300] "bet	rcsesr.bin
121 [09/sep/2001:21:06:45 -0300] "bet	rcsesr.com
121 [09/sep/2001:21:06:49 -0300] "bet	rcsesr.ext
121 [09/sep/2001:21:07:18 -0300] "bet	rcsesr.scm
121 [09/sep/2001:21:08:10 -0300] "bet	rdebug.bci
121 [09/sep/2001:21:08:12 -0300] "bet	rdebug.bin
121 [09/sep/2001:21:08:49 -0300] "bet	rdebug.com
121 [09/sep/2001:21:09:16 -0300] "bet	rdebug.scm
121 [09/sep/2001:21:09:16 -0300] "bet	rdflow.bci
121 [09/sep/2001:21:17:57 -0300] "bet	rdflow.bin
121 [09/sep/2001:21:17:57 -0300] "bet	rdflow.com
121 [09/sep/2001:21:17:59 -0300] "bet	rdflow.ext
121 [09/sep/2001:21:18:08 -0300] "bet	rdflow.scm
121 [09/sep/2001:21:18:08 -0300] "bet	rerite.bci
121 [09/sep/2001:21:18:11 -0300] "bet	rerite.bin
121 [09/sep/2001:21:19:26 -0300] "bet	rerite.com
121 [09/sep/2001:21:19:30 -0300] "bet	rerite.ext
121 [09/sep/2001:21:19:59 -0300] "bet	rerite.scm
121 [09/sep/2001:21:19:59 -0300] "bet	rinvex.bci
121 [09/sep/2001:21:20:01 -0300] "bet	rinvex.bin
121 [09/sep/2001:21:20:14 -0300] "bet	rinvex.com
121 [09/sep/2001:21:20:15 -0300] "bet	rinvex.ext
121 [09/sep/2001:21:21:01 -0300] "bet	rinvex.scm
121 [09/sep/2001:21:21:01 -0300] "bet	rlife.bci
121 [09/sep/2001:21:21:04 -0300] "bet	rlife.bin
121 [11/sep/2001:11:41:52 -0300] "bet	rlife.com
121 [11/sep/2001:11:41:52 -0300] "bet	rlife.scm
121 [11/sep/2001:11:41:56 -0300] "bet	rtlcsm.bci
121 [11/sep/2001:11:49:57 -0300] "bet	rtlcsm.bin
121 [11/sep/2001:11:49:57 -0300] "bet	rtlcsm.com
121 [11/sep/2001:11:42:03 -0300] "bet	rtlcsm.scm
121 [11/sep/2001:11:42:14 -0300] "bet	
123 [11/sep/2001:08:31:43 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/src/compiler/tests:
123 [11/sep/2001:08:39:17 -0300] "bet	clogc.scm
123 [11/sep/2001:08:39:20 -0300] "bet	closure.scm
123 [11/sep/2001:08:57:05 -0300] "bet	datum.scm
124 [11/sep/2001:11:31:38 -0300] "bet	decldatum.scm
124 [11/sep/2001:11:31:38 -0300] "bet	declempty.scm
124 [11/sep/2001:11:31:45 -0300] "bet	dlink.scm
124 [11/sep/2001:11:36:17 -0300] "bet	dlink-tail1.scm
124 [11/sep/2001:11:36:17 -0300] "bet	dlink-tail8.scm
124 [11/sep/2001:11:36:19 -0300] "bet	dslink.scm
124 [11/sep/2001:11:36:30 -0300] "bet	empty.scm
124 [11/sep/2001:11:38:08 -0300] "bet	gc.scm
124 [11/sep/2001:11:38:08 -0300] "bet	identity.scm
124 [11/sep/2001:11:38:16 -0300] "bet	link1.scm
124 [11/sep/2001:11:38:19 -0300] "bet	link2.scm
124 [11/sep/2001:11:38:42 -0300] "bet	link3.scm
124 [11/sep/2001:11:38:45 -0300] "bet	map-reduce.scm
124 [11/sep/2001:11:38:47 -0300] "bet	mfu-dlink1.scm
124 [11/sep/2001:11:41:04 -0300] "bet	mfu-dlink8.scm
124 [11/sep/2001:11:41:04 -0300] "bet	mfu-static.scm
124 [11/sep/2001:11:41:05 -0300] "bet	README
124 [11/sep/2001:11:41:08 -0300] "bet	slink.scm
124 [11/sep/2001:11:41:12 -0300] "bet	tests.cbf
124 [11/sep/2001:11:41:12 -0300] "bet	tests.sf
124 [11/sep/2001:11:41:13 -0300] "bet	uuoclogc.scm
124 [11/sep/2001:11:41:15 -0300] "bet	uuoclo.scm
124 [11/sep/2001:11:41:19 -0300] "bet	uuogc.scm
124 [11/sep/2001:11:41:31 -0300] "bet	uuo.scm
124 [11/sep/2001:11:41:31 -0300] "bet	
124 [11/sep/2001:11:41:32 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/src/cref:
124 [11/sep/2001:11:41:35 -0300] "bet	anfile.bci
124 [11/sep/2001:11:41:42 -0300] "bet	anfile.bin
124 [11/sep/2001:11:41:42 -0300] "bet	anfile.com
124 [11/sep/2001:11:41:43 -0300] "bet	anfile.scm
124 [11/sep/2001:11:41:46 -0300] "bet	Clean.sh
124 [11/sep/2001:11:59:21 -0300] "bet	conpkg.bci
124 [11/sep/2001:11:59:21 -0300] "bet	conpkg.bin
124 [11/sep/2001:11:59:25 -0300] "bet	conpkg.com
124 [11/sep/2001:11:59:30 -0300] "bet	conpkg.scm
124 [11/sep/2001:11:59:35 -0300] "bet	cref.cbf
124 [11/sep/2001:12:00:04 -0300] "bet	cref.pkg
128 [11/sep/2001:11:54:03 -0300] "bet	cref.sf
128 [11/sep/2001:11:54:03 -0300] "bet	cref-unx.crf
128 [11/sep/2001:11:55:09 -0300] "bet	cref-unx.fre
128 [11/sep/2001:11:55:09 -0300] "bet	cref-unx.pkd
128 [11/sep/2001:11:55:11 -0300] "bet	forpkg.bci
128 [11/sep/2001:11:55:16 -0300] "bet	forpkg.bin
128 [11/sep/2001:11:58:48 -0300] "bet	forpkg.com
128 [11/sep/2001:11:58:48 -0300] "bet	forpkg.scm
128 [11/sep/2001:11:58:50 -0300] "bet	make.bci
128 [11/sep/2001:11:58:53 -0300] "bet	make.bin
128 [11/sep/2001:11:59:48 -0300] "bet	make.com
128 [11/sep/2001:11:59:48 -0300] "bet	Makefile
128 [11/sep/2001:11:59:51 -0300] "bet	Makefile-fragment
128 [11/sep/2001:12:00:08 -0300] "bet	Makefile.in
128 [11/sep/2001:12:00:08 -0300] "bet	make.scm
129 [11/sep/2001:11:35:19 -0300] "bet	mset.bci
129 [11/sep/2001:11:35:19 -0300] "bet	mset.bin
129 [11/sep/2001:12:00:02 -0300] "bet	mset.com
129 [11/sep/2001:12:01:19 -0300] "bet	mset.scm
129 [11/sep/2001:12:01:19 -0300] "bet	object.bci
129 [11/sep/2001:12:01:23 -0300] "bet	object.bin
129 [11/sep/2001:12:01:24 -0300] "bet	object.com
129 [11/sep/2001:12:02:35 -0300] "bet	object.ext
130 [11/sep/2001:11:28:34 -0300] "bet	object.scm
130 [11/sep/2001:11:31:06 -0300] "bet	redpkg.bci
130 [11/sep/2001:11:32:46 -0300] "bet	redpkg.bin
130 [11/sep/2001:11:38:15 -0300] "bet	redpkg.com
130 [11/sep/2001:11:38:15 -0300] "bet	redpkg.ext
130 [11/sep/2001:11:38:42 -0300] "bet	redpkg.scm
130 [11/sep/2001:11:38:53 -0300] "bet	Setup.sh
131 [11/sep/2001:11:27:13 -0300] "bet	Stage.sh
131 [11/sep/2001:11:27:13 -0300] "bet	Tags.sh
131 [11/sep/2001:11:38:56 -0300] "bet	toplev.bci
131 [11/sep/2001:11:58:36 -0300] "bet	toplev.bin
131 [11/sep/2001:11:58:36 -0300] "bet	toplev.com
108 [04/sep/2001:09:59:40 -0300] "bet	toplev.scm
108 [04/sep/2001:09:59:40 -0300] "bet	triv.pkg
108 [04/sep/2001:09:59:41 -0300] "bet	
108 [04/sep/2001:09:59:41 -0300] "bet	/home/joshua/Desktop/mit-scheme-11.2/src/edwin:
108 [04/sep/2001:09:59:48 -0300] "bet	abbrev.bci
108 [04/sep/2001:09:59:49 -0300] "bet	abbrev.bin
108 [04/sep/2001:09:59:50 -0300] "bet	abbrev.com
108 [04/sep/2001:09:59:54 -0300] "bet	abbrev.ext
108 [04/sep/2001:09:59:54 -0300] "bet	abbrev.scm
122 [08/sep/2001:12:57:32 -0300] "bet	aclocal.m4
122 [08/sep/2001:12:57:32 -0300] "bet	adapters.bci
122 [08/sep/2001:12:57:40 -0300] "bet	adapters.bin
122 [08/sep/2001:12:57:40 -0300] "bet	adapters.com
122 [08/sep/2001:12:57:41 -0300] "bet	adapters.scm
122 [08/sep/2001:12:57:43 -0300] "bet	ansi.bci
122 [08/sep/2001:12:58:11 -0300] "bet	ansi.bin
122 [08/sep/2001:12:58:11 -0300] "bet	ansi.com
125 [07/sep/2001:09:35:51 -0300] "bet	ansi.scm
125 [07/sep/2001:09:35:51 -0300] "bet	argred.bci
127 [10/sep/2001:18:29:09 -0300] "bet	argred.bin
127 [10/sep/2001:18:29:33 -0300] "bet	argred.com
127 [10/sep/2001:18:29:51 -0300] "bet	argred.scm
127 [10/sep/2001:18:29:54 -0300] "bet	artdebug.bci
127 [10/sep/2001:18:30:05 -0300] "bet	artdebug.bin
110 [10/sep/2001:18:42:08 -0300] "bet	artdebug.com
110 [10/sep/2001:18:42:10 -0300] "bet	artdebug.ext
112 [07/sep/2001:13:41:03 -0300] "bet	artdebug.scm
112 [07/sep/2001:13:46:05 -0300] "bet	AUTHORS
112 [07/sep/2001:13:46:05 -0300] "bet	autogen.sh
112 [07/sep/2001:13:46:08 -0300] "bet	autold.bci
112 [07/sep/2001:13:46:13 -0300] "bet	autold.bin
112 [10/sep/2001:16:21:37 -0300] "bet	autold.com
112 [10/sep/2001:16:21:37 -0300] "bet	autold.ext
112 [10/sep/2001:16:33:37 -0300] "bet	autold.scm
112 [10/sep/2001:16:34:14 -0300] "bet	autom4te.cache
112 [10/sep/2001:16:34:39 -0300] "bet	autosv.bci
112 [10/sep/2001:16:35:10 -0300] "bet	autosv.bin
112 [10/sep/2001:16:35:10 -0300] "bet	autosv.com
112 [10/sep/2001:16:37:18 -0300] "bet	autosv.scm
112 [10/sep/2001:16:37:18 -0300] "bet	basic.bci
112 [10/sep/2001:16:37:42 -0300] "bet	basic.bin
112 [10/sep/2001:16:37:46 -0300] "bet	basic.com
112 [10/sep/2001:16:38:06 -0300] "bet	basic.ext
113 [06/sep/2001:11:41:10 -0300] "bet	basic.scm
113 [06/sep/2001:11:41:10 -0300] "bet	bios.bci
113 [06/sep/2001:11:43:00 -0300] "bet	bios.bin
113 [06/sep/2001:11:43:00 -0300] "bet	bios.com
113 [06/sep/2001:11:47:38 -0300] "bet	bios.ext
113 [06/sep/2001:11:47:41 -0300] "bet	bios.scm
113 [06/sep/2001:11:47:57 -0300] "bet	bufcom.bci
113 [06/sep/2001:11:47:57 -0300] "bet	bufcom.bin
113 [06/sep/2001:11:48:14 -0300] "bet	bufcom.com
113 [06/sep/2001:11:51:58 -0300] "bet	bufcom.scm
113 [06/sep/2001:11:56:55 -0300] "bet	buffer.bci
113 [06/sep/2001:11:56:56 -0300] "bet	buffer.bin
113 [06/sep/2001:11:56:56 -0300] "bet	buffer.com
113 [06/sep/2001:11:56:56 -0300] "bet	buffer.ext
113 [06/sep/2001:11:56:56 -0300] "bet	buffer.scm
113 [06/sep/2001:11:56:56 -0300] "bet	buffrm.bci
113 [06/sep/2001:11:56:57 -0300] "bet	buffrm.bin
113 [06/sep/2001:11:56:57 -0300] "bet	buffrm.com
114 [06/sep/2001:15:54:18 -0300] "bet	buffrm.ext
114 [06/sep/2001:15:55:13 -0300] "bet	buffrm.scm
